# -*- ck2.landed_titles -*-

# HOLY ORDERS
d_knights_templar = { # Knights Templar
	color = { 230 230 230 }
			capital = 314 # Nürnberg
			culture = franconian
			title = BURGRAVE
			title_female = BURGRAVINE
			foa = BURGRAVE_FOA
			title_prefix = BURGRAVE_OF
			c_plauen = { # Bayreuth (311)
				color = { 180 180 180 }
				color2 = { 255 255 255 }
				b_plassenburg = {}
				b_cheb = {}
				b_kulmbach = {}
				b_bayreuth = {}
				#b_wunsiedel = {}
				#b_guttenberg = {}
				#b_hof = {}
				#b_kirchenlamitz = {}
			}
			c_ansbach = { # Ansbach (981)
				color = { 57 97 77 }
				color2 = { 255 255 255 }
				b_ansbach = {}
				b_colmberg = {}
				b_nordlingen = {}
				b_eichstatt = { name_tier = count }
			}
			c_nurnberg = { # Nürnberg (314)
				color = { 57 57 57 }
				color2 = { 255 255 255 }
				b_roth = {}
				b_cadolzburg = {}
				b_nurnberg = {}
				b_nurnbergerburg = {}
				b_crailsheim = {}
				#b_furth = {}
				#b_erlangen = {}
			}
		} # end d_nuremberg
		d_oberbayern = { # Oberbaiern
			color = { 81 151 200 }
			color2 = { 255 255 255 }
			capital = 360 # Oberbayern
			culture = bavarian
			roman = "Rhaetia Prima"
			greek = "Rhaitia Prima"
			c_kempten = { # Kempten (315)
				color = { 69 69 69 }
				color2 = { 255 255 255 }
				roman = "Cambodunum"
				greek = "Kambodunum"
				b_kempten = {
					roman = "Cambodunum"
					greek = "Kambodunum"
				}
				b_wittelsbach = {}
				b_zumarshausen = {}
				#b_friedberg = {}
			}
			c_oberbayern = { # Oberbayern (360)
				color = { 66 66 66 }
				color2 = { 255 255 255 }
				b_munchen = {}
				b_dachau = {}
				b_freising = { name_tier = count }
				b_andechs = {}
				b_diessen = {}
				b_dingolfing = {}
				#b_pfaffenberg = {}
				#b_ebersberg = {}
			}
		} # end d_oberbayern
		d_salzburg = { # Salzburg
			color = { 164 33 33 }
			color2 = { 255 255 255 }
			capital = 448 # Salzburg
			culture = bavarian
			title = FE
			foa = FE_FOA
			title_prefix = FE_OF
			roman = "Iuvavum"
			greek = "Iuvavum"
			c_salzburg = { # Salzburg (448)
				color = { 63 63 63 }
				color2 = { 255 255 255 }
				roman = "Iuvavum"
				greek = "Iuvavum"
				b_salzburg = {
					roman = "Iuvavum"
					greek = "Iuvavon"
				}
				b_durmberg = {}
				b_waging = {}
				b_berchtesgaden = {}
				b_tittmoning = {}
				#b_laufen = {}
				#b_muhldorf = {}
				#b_gastein = {}
			}
			allow = {
				religion_group = christian
				is_theocracy = yes
				piety = 500
			}
		}
		d_osterreich = { # Österreich
			color = { 188 0 7 }
			color2 = { 255 255 255 }
			capital = 449 # Österreich
			culture = bavarian
			roman = "Noricum Ripense"
			greek = "Noricum Ripense"
			c_osterreich = { # Österreich (449)
				color = { 48 48 48 }
				color2 = { 255 255 255 }
				culture = bavarian
				title = MARGRAVE
				title_female = MARGRAVINE
				foa = MARGRAVE_FOA
				title_prefix = MARGRAVE_OF
				roman = "Vindobona"
				greek = "Ouindobouna"
				b_pochlarn = {}
				b_wien = {
					roman = "Vindobona"
					greek = "Ouindobouna"
				}
				b_melk = {}
				b_raabs = {}
				b_klosterneuburg = {}
				b_stpolten = {
					roman = "Cetium"
					greek = "Cetium"
				}
				#b_heiligenkreuz = {}
				#b_modling = {}
				#b_hainburg = {}
				#b_liechtenstein = {}
				#b_falkenstein = {}
				#b_stolzenworth = {}
				#b_maissau = {}
			}
			c_innsbruck = { # Traungau (359)
				color = { 84 84 84 }
				color2 = { 255 255 255 }
				b_steyr = {}
				b_linz = {
					roman = "Lentia"
					greek = "Lentia"
				}
				b_lambach = {}
				b_schaunberg = {}
				b_kremsmunster = {}
				#b_sanktflorian = {}
				#b_wilhering = {}
				#b_enns = {}
				#b_eferding = {}
				#b_wels = {}
				#b_traun = {}
				#b_wildberg = {}
				#b_rebgau = {}
				#b_freudenstein = {}
			}
			c_kuenring = { # Kuenring (1264)
				color = { 51 51 51 }
				color2 = { 255 255 255 }
				b_kuhenring = {}
				b_zwettl = {}
				b_krems = {}
				#b_weitra = {}
				#b_stein = {}
				#b_hardegg = {}
				#b_hartenstein = {}
			}
			c_pitten = { # Pitten (972)
				color = { 87 46 29 }
				color2 = { 255 255 255 }
				b_pitten = {}
				b_neunkirchen = {}
				b_wienerneustadt = {}
				#b_gloggnitz = {}
				#b_pottschach = {}
				#b_seebenstein = {}
			}
		} # end d_osterreich
		allow = {
			OR = {
				prestige = 2500
				AND = {
					NOT = { tier = emperor }
					prestige = 700
				}
			}
			title_king_basic_allow = yes
		}
	} # end k_bavaria
	k_carinthia = { # Kärnten
		color = { 165 255 250 }
		color2 = { 220 220 20 }
		capital = 456 # Kärnten
		culture = karantanci
		name_tier = duke
		catholic = 2500 # Crusade target weight
		slavic_pagan_reformed = 150 # Crusade target weight
		d_styria = { # Steiermark
			color = { 77 157 97 }
			color2 = { 255 255 255 }
			capital = 455 # Steiermark
			culture = bavarian
			c_steiermark = { # Steiermark (455)
				color = { 45 45 45 }
				color2 = { 255 255 255 }
				culture = bavarian
				title = MARGRAVE
				title_female = MARGRAVINE
				foa = MARGRAVE_FOA
				title_prefix = MARGRAVE_OF
				b_eppenstein = {}
				b_graz = {}
				b_seckau = {}
				b_stubing = {}
				b_admont = {}
				#b_goss = {}
				#b_leibnitz = {}
				#b_leoben = {}
				#b_judenburg = {}
				#b_bruck = {}
				#b_kapfenberg = {}
				#b_murau = {}
				#b_landsberg = {}
				#b_voitsberg = {}
			}
			c_celje = { # Celje (1317)
				color = { 244 227 180 }
				color2 = { 255 255 255 }
				culture = karantanci
				roman = "Celeia"
				greek = "Keleia"
				b_sanneck = {}
				b_celje = {
					roman = "Celeia"
					greek = "Keleia"
				}
				b_lavant = {}
				b_soune = {}
				#b_marburg = {}
				#b_rann = {}
				#b_pettau = {}
				#b_windischgraz = {}
				#b_guetenegg = {}
			}
		} # end d_styria
		d_carinthia = { # Kärnten
			color = { 98 120 93 }
			color2 = { 255 255 255 }
			culture = bavarian
			capital = 456 # Kärnten
			roman = "Noricum Mediterraneum"
			greek = "Noricum Mediterraneum"
			c_krain = { # Carniola (457)
				color = { 244 227 180 }
				color2 = { 255 255 255 }
				culture = karantanci
				title = MARGRAVE
				title_female = MARGRAVINE
				foa = MARGRAVE_FOA
				title_prefix = MARGRAVE_OF
				b_auersperg = {}
				b_krainburg = {
					roman = "Carnium"
					greek = "Carnium"
				}
				b_sittich = {}
				b_bischoflack = { karantanci = "Škofja Loka" }
				#b_konstanjevica = {
				#	german = "Landstrass"
				#	thuringian = "Landstrass"
				#	swabian = "Landstrass"
				#	bavarian = "Landstrass"
				#	franconian = "Landstrass"
				#	low_saxon = "Landstrass"
				#	low_german = "Landstrass"
				#	low_frankish = "Landstrass"
				#	dutch = "Landstrass"
				#}
				#b_michelstetten = { karantanci = "Velesovo" }
				#b_laibach = {
				#	roman = "Emona"
				#	greek = "Emona"
				#}
				#b_kamnik = { german = "Stein" }
				#b_rudolfswert = {}
				#b_merling = { karantanci = "Metlika" }
				#b_weichselberg = {}
				#b_reifnitz = { karantanci = "Ribnica" }
				#b_kostel = {}
			} # end c_krain
			c_gorz = { # Görz (1247)
				color = { 244 227 180 }
				color2 = { 255 255 255 }
				culture = karantanci
				b_gorz = { karantanci = "Gorica" }
				b_grado = {}
				b_vrtojba = {}
				#b_cervignano = { karantanci = "Cervinjan" }
				#b_monfalcone = {
				#	german = "Falkenberg"
				#	thuringian = "Falkenberg"
				#	swabian = "Falkenberg"
				#	bavarian = "Falkenberg"
				#	franconian = "Falkenberg"
				#	low_saxon = "Falkenberg"
				#	low_german = "Falkenberg"
				#	low_frankish = "Falkenberg"
				#	dutch = "Falkenberg"
				#	karantanci = "Tržic"
				#}
				#b_cormons = {
				#	german = "Gremaun"
				#	thuringian = "Gremaun"
				#	swabian = "Gremaun"
				#	bavarian = "Gremaun"
				#	franconian = "Gremaun"
				#	low_saxon = "Gremaun"
				#	low_german = "Gremaun"
				#	low_frankish = "Gremaun"
				#	dutch = "Gremaun"
				#}
				#b_gradisca = {
				#	karantanci = "Gradišce"
				#	german = "Gradis"
				#	thuringian = "Gradis"
				#	swabian = "Gradis"
				#	bavarian = "Gradis"
				#	franconian = "Gradis"
				#	low_saxon = "Gradis"
				#	low_german = "Gradis"
				#	low_frankish = "Gradis"
				#	dutch = "Gradis"
				#}
			} # end c_gorz
			c_karnten = { # Kärnten (456)
				color = { 244 247 160 }
				color2 = { 255 255 255 }
				culture = bavarian
				holy_site = slavic_pagan
				holy_site = slavic_pagan_reformed
				b_friesach = {}
				b_sanktveit = {}
				b_klagenfurt = {}
				b_gurk = {}
				b_karnburg = {
					polish = "Krnskigrad"
					bohemian = "Kranj"
					pommeranian = "Krnskigrad"
					russian = "Krnskigrad"
					moravian = "Kranj"
					croatian = "Krnskigrad"
					bosnian = "Krnskigrad"
					serbian = "Krnskigrad"
					karantanci = "Krnskigrad"
					bulgarian = "Krnskigrad"
				}
				#b_millstatt = {}
				#b_eberndorf = {}
				#b_villach = {}
				#b_ossiach = {}
				#b_gmund = {}
				#b_volkermarkt = {}
				#b_trixen = {}
			}
		} # end d_carinthia
		d_istria = { # Istra
			color = { 59 51 164 }
			color2 = { 255 255 255 }
			culture = karantanci
			capital = 458 # Merania # Istria
			title = MARGRAVE
			title_female = MARGRAVINE
			foa = MARGRAVE_FOA
			title_prefix = MARGRAVE_OF
			german = "Istrien"
			hungarian = "Isztria"
			szekely = "Isztria"
			roman = "Histria"
			greek = "Histria"
			polish = "Istra"
			bohemian = "Istrie"
			pommeranian = "Istra"
			russian = "Istra"
			moravian = "Istria"
			croatian = "Istra"
			bosnian = "Istra"
			serbian = "Istra"
			karantanci = "Istra"
			bulgarian = "Istra"
			c_istria = { # Merania (458)
				color = { 224 249 237 }
				color2 = { 255 255 255 }
				culture = karantanci
				italian = "Merano"
				sardinian = "Merano"
				sicilian = "Merano"
				corsican = "Merano"
				central_italian = "Merano"
				southern_italian = "Merano"
				neapolitan = "Merano"
				tuscan = "Merano"
				ligurian = "Merano"
				venetian = "Merano"
				dalmatian = "Merano"
				german = "Meranien"
				thuringian = "Meranien"
				swabian = "Meranien"
				bavarian = "Meranien"
				franconian = "Meranien"
				low_saxon = "Meranien"
				low_german = "Meranien"
				low_frankish = "Meranien"
				dutch = "Meranien"
				hungarian = "Meránia"
				szekely = "Meránia"
				roman = "Meraniae"
				greek = "Meraniae"
				polish = "Meranije"
				bohemian = "Merano"
				pommeranian = "Meranije"
				russian = "Meranije"
				moravian = "Merano"
				croatian = "Meranije"
				bosnian = "Meranije"
				serbian = "Meranije"
				karantanci = "Meranije"
				bulgarian = "Meranije"
				b_mitterburg = {
					german = "Mitterburg"
					venetian = "Pixin"
					greek = "Pisinón"
					arberian = "Pisinón"
					armenian = "Pisinón"
					alan = "Pisinón"
					georgian = "Pisinón"
					east_gothic = "Pisinón"
					roman = "Pisinum"
					polish = "Pazin"
					bohemian = "Pazin"
					pommeranian = "Pazin"
					russian = "Pazin"
					moravian = "Pazin"
					croatian = "Pazin"
					bosnian = "Pazin"
					serbian = "Pazin"
					karantanci = "Pazin"
					bulgarian = "Pazin"
				}
				b_motovun = {
					polish = "Motovun"
					bohemian = "Motovun"
					pommeranian = "Motovun"
					russian = "Motovun"
					moravian = "Motovun"
					croatian = "Motovun"
					bosnian = "Motovun"
					serbian = "Motovun"
					karantanci = "Motovun"
					bulgarian = "Motovun"
					greek = "Montana"
					east_gothic = "Montana"
					roman = "Montana"
				}
				b_pican = {
					german = "Piben"
					greek = "Petina"
					arberian = "Petina"
					armenian = "Petina"
					alan = "Petina"
					georgian = "Petina"
					east_gothic = "Petina"
					roman = "Petina"
					polish = "Pican"
					bohemian = "Pican"
					pommeranian = "Pican"
					russian = "Pican"
					moravian = "Pican"
					croatian = "Pican"
					bosnian = "Pican"
					serbian = "Pican"
					karantanci = "Pican"
					bulgarian = "Pican"
				}
				#b_labin = {
				#	german = "Tüberg"
				#	thuringian = "Tüberg"
				#	swabian = "Tüberg"
				#	bavarian = "Tüberg"
				#	franconian = "Tüberg"
				#	low_saxon = "Tüberg"
				#	low_german = "Tüberg"
				#	low_frankish = "Tüberg"
				#	dutch = "Tüberg"
				#	polish = "Labin"
				#	bohemian = "Labin"
				#	pommeranian = "Labin"
				#	russian = "Labin"
				#	moravian = "Labin"
				#	croatian = "Labin"
				#	bosnian = "Labin"
				#	serbian = "Labin"
				#	karantanci = "Labin"
				#	bulgarian = "Labin"
				#}
			} # end c_istria
			c_trieste = { # Duino (958)
				color = { 124 229 237 }
				color2 = { 255 255 255 }
				culture = karantanci
				roman = "Tergeste"
				greek = "Tergeste"
				east_gothic = "Tergeste"
				b_triest = {
					hungarian = "Trieszt"
					szekely = "Trieszt"
					german = "Triest"
					thuringian = "Triest"
					swabian = "Triest"
					bavarian = "Triest"
					franconian = "Triest"
					low_saxon = "Triest"
					low_german = "Triest"
					low_frankish = "Triest"
					dutch = "Triest"
					venetian = "Trièst"
					greek = "Tergeste"
					east_gothic = "Tergeste"
					roman = "Tergeste"
					polish = "Trst"
					bohemian = "Terst"
					pommeranian = "Trst"
					russian = "Trst"
					moravian = "Terst"
					croatian = "Trst"
					bosnian = "Trst"
					serbian = "Trst"
					karantanci = "Trst"
					bulgarian = "Trst"
				}
				b_pula = {
					hungarian = "Póla"
					szekely = "Póla"
					german = "Polei"
					thuringian = "Polei"
					swabian = "Polei"
					bavarian = "Polei"
					franconian = "Polei"
					low_saxon = "Polei"
					low_german = "Polei"
					low_frankish = "Polei"
					dutch = "Polei"
					greek = "Pola"
					east_gothic = "Pola"
					roman = "Pola"
					polish = "Pulj"
					bohemian = "Pula"
					pommeranian = "Pulj"
					russian = "Pulj"
					moravian = "Pula"
					croatian = "Pulj"
					bosnian = "Pulj"
					serbian = "Pulj"
					karantanci = "Pulj"
					bulgarian = "Pulj"
				}
				b_pirano = {
					german = "Pirian"
					thuringian = "Pirian"
					swabian = "Pirian"
					bavarian = "Pirian"
					franconian = "Pirian"
					low_saxon = "Pirian"
					low_german = "Pirian"
					low_frankish = "Pirian"
					dutch = "Pirian"
					greek = "Piranòn"
					east_gothic = "Piranòn"
					roman = "Pyrrhanum"
					polish = "Piran"
					bohemian = "Piran"
					pommeranian = "Piran"
					russian = "Piran"
					moravian = "Piran"
					croatian = "Piran"
					bosnian = "Piran"
					serbian = "Piran"
					karantanci = "Piran"
					bulgarian = "Piran"
				}
				b_koper = {
					german = "Gafers"
					thuringian = "Gafers"
					swabian = "Gafers"
					bavarian = "Gafers"
					franconian = "Gafers"
					low_saxon = "Gafers"
					low_german = "Gafers"
					low_frankish = "Gafers"
					dutch = "Gafers"
					greek = "Aegida"
					east_gothic = "Aegida"
					roman = "Capris"
					polish = "Koper"
					bohemian = "Koper"
					pommeranian = "Koper"
					russian = "Koper"
					moravian = "Koper"
					croatian = "Kopar"
					bosnian = "Koper"
					serbian = "Koper"
					karantanci = "Koper"
					bulgarian = "Koper"
				}
				b_duino = {
					german = "Thübein"
					thuringian = "Thübein"
					swabian = "Thübein"
					bavarian = "Thübein"
					franconian = "Thübein"
					low_saxon = "Thübein"
					low_german = "Thübein"
					low_frankish = "Thübein"
					dutch = "Thübein"
					greek = "Duinón"
					east_gothic = "Duinón"
					roman = "Duina"
					polish = "Devin"
					bohemian = "Devin"
					pommeranian = "Devin"
					russian = "Devin"
					moravian = "Devin"
					croatian = "Devin"
					bosnian = "Devin"
					serbian = "Devin"
					karantanci = "Devin"
					bulgarian = "Devin"
				}
			} # end c_trieste
		} # end d_istria
		d_aquileia = { # Friùli
			color = { 167 136 62 }
			color2 = { 255 255 255 }
			capital = 358 # Aquileia
			culture = venetian
			c_aquileia = { # Aquileia (358)
				color = { 37 140 129 }
				color2 = { 255 255 255 }
				culture = venetian
				greek = "Akouileia"
				east_gothic = "Akouileia"
				b_aquileia = {
					greek = "Akouileia"
					east_gothic = "Akouileia"
				}
				b_udine = {}
				b_motta = {}
				b_concordia = {}
				#b_ciridale = {}
				#b_tarcento = {}
				#b_pieve = {}
				#b_portoguaro = {}
				#b_sacile = {}
			}
			allow = {
				religion_group = christian
				is_theocracy = yes
				piety = 500
			}
		}
		allow = {
			OR = {
				prestige = 2500
				AND = {
					NOT = { tier = emperor }
					prestige = 700
				}
			}
			title_king_basic_allow = yes
		}
	} # end k_carinthia
	k_schwaben = { # Schwaben
		color = { 57 142 157 }
		color2 = { 220 220 20 }
		capital = 250 # Breisgau # Bodman, hence Bodensee (Lake Constance)
		culture = swabian
		name_tier = duke
		catholic = 3000 # Crusade target weight
		d_augsburg = { # Augsburg
			color = { 255 160 122 }
			color2 = { 255 255 255 }
			culture = swabian
			capital = 955 # Augsburg
			title = FE
			foa = FE_FOA
			title_prefix = FE_OF
			c_augsburg = { # Augsburg (955)
				color = { 169 69 169 }
				color2 = { 255 255 255 }
				roman = "Augusta Vindelicum"
				greek = "Augousta Ouendelikon"
				b_augsburg = {
					roman = "Augusta Vindelicum"
					greek = "Augousta Ouendelikon"
				}
				b_donauworth = {}
				b_benediktbeuern = {}
				#b_kaufbeuren = {}
				#b_hochstadt = {}
				#b_rain = {}
				#b_ottobeuren = {}
			}
			allow = {
				religion_group = christian
				is_theocracy = yes
				piety = 500
			}
		}
		d_baden = { # Baden
			color = { 249 187 0 }
			color2 = { 255 255 255 }
			culture = swabian
			capital = 125 # Baden
			title = MARGRAVE
			title_female = MARGRAVINE
			foa = MARGRAVE_FOA
			title_prefix = MARGRAVE_OF
			c_baden = { # Baden (125)
				color = { 102 102 102 }
				color2 = { 255 255 255 }
				b_baden = {}
				b_hodenhagen = {}
				b_pforzheim = {}
				b_durlach = {}
				b_backnang = {}
				#b_besigheim = {}
			}
			c_eberstein = { # Eberstein (1030)
				color = { 102 102 102 }
				color2 = { 255 255 255 }
				b_eberstein = {}
				b_gernsbach = {}
				#b_wimpfen = {}
			}
			c_breisgau = { # Breisgau (250)
				color = { 105 94 105 }
				color2 = { 255 255 255 }
				b_freiburg = {}
				b_stblasien = {}
				b_offenburg = {}
				b_schaffhausen = {}
				#b_lahr = {}
				#b_lohrrach = {}
				#b_breisach = {}
				#b_rottweil = {}
			}
		} # end d_baden
		d_chur = { # Chur
			color = { 100 76 131 }
			color2 = { 255 255 255 }
			culture = swabian
			capital = 247 # Chur
			title = FE
			foa = FE_FOA
			title_prefix = FE_OF
			roman = "Curia"
			greek = "Curia"
			c_chur = { # Chur (247)
				color = { 87 87 87 }
				color2 = { 255 255 255 }
				roman = "Curia"
				greek = "Curia"
				b_chur = {
					roman = "Curia"
					greek = "Curia"
				}
				b_davos = {}
				b_glurns = {}
				#b_churwalden = {}
				#b_maienfeld = {}
				#b_illanz = {}
				#b_thusis = {}
				#b_zuoz = {}
			}
			allow = {
				religion_group = christian
				is_theocracy = yes
				piety = 500
			}
		}
		d_alsace = { # Alsace
			color = { 111 19 32 }
